
id: 2
num_1: 34197	| 0000000017749383 cfc771d1266ed6b5 e6503424c62eef89 d11f3f7d770f418a ...
    2	     0.016
   10	     0.044
   18	     0.134
   26	     0.106
   34	     0.262
   42	     0.349
   50	     0.360
   58	     0.426
   66	     0.524
   74	     0.594
   82	     0.733
   90	     0.719
   98	     0.870
  106	     0.861
  114	     0.914
  122	     0.981
  130	     1.129
  138	     1.132
  146	     1.131
  154	     1.263
  162	     1.263
  170	     1.356
  178	     1.321
  186	     1.389
  194	     1.478
  202	     1.436
  210	     1.729
  218	     1.877
  226	     1.706
  234	     1.825
  242	     1.950
  250	     1.955
  258	     2.059
  266	     2.084
  274	     2.066
  282	     2.088
  290	     2.222
  298	     2.346
  306	     2.219
  314	     2.278
  322	     2.359
  330	     2.573
  338	     2.503
  346	     2.554
  354	     2.845
  362	     3.274
  370	     2.905
  378	     2.888
  386	     3.023
  394	     2.891
  402	     3.057
  410	     2.569
  418	     1.766
  426	     2.384
  434	     2.948
  442	     3.601
  450	     3.623
  458	     3.657
  466	     3.938
  474	     4.012
  482	     4.346
  490	     4.488
  498	     4.285
  506	     4.409
  514	     4.517
  522	     4.470
  530	     4.605
  538	     4.660
  546	     5.023
  554	     4.864
  562	     4.730
  570	     4.854
  578	     5.146
  586	     5.202
  594	     5.569
  602	     5.236
  610	     5.153
  618	     5.178
  626	     5.297
  634	     5.525
  642	     5.400
  650	     5.500
  658	     5.682
  666	     5.739
  674	     5.772
  682	     5.644
  690	     5.910
  698	     5.721
  706	     5.990
  714	     6.011
  722	     6.211
  730	     6.548
  738
