
id: 1
num_1: 34197	| 0000000017749383 cfc771d1266ed6b5 e6503424c62eef89 d11f3f7d770f418a ...
    1:	  0.000960	     0.013
    7:	  0.000664	     0.043
   13:	  0.000784	     0.096
   19:	  0.001062	     0.145
   25:	  0.000841	     0.181
   31:	  0.000578	     0.191
   37:	  0.000608	     0.213
   43:	  0.000628	     0.264
   49:	  0.000617	     0.284
   55:	  0.000609	     0.421
   61:	  0.001013	     0.402
   67:	  0.000882	     0.417
   73:	  0.000610	     0.556
   79:	  0.000731	     0.584
   85:	  0.000781	     0.590
   91:	  0.000870	     0.662
   97:	  0.000878	     0.666
  103:	  0.000849	     0.677
  109:	  0.000716	     0.729
  115:	  0.000616	     0.719
  121:	  0.000620	     0.719
  127:	  0.000840	     0.951
  133:	  0.000750	     0.777
  139:	  0.000610	     0.968
  145:	  0.000851	     0.959
  151:	  0.000875	     0.993
  157:	  0.000601	     1.082
  163:	  0.000737	     1.125
  169:	  0.000678	     1.330
  175:	  0.000919	     1.211
  181:	  0.000896	     1.235
  187:	  0.000852	     1.265
  193:	  0.000605	     1.406
  199:	  0.000614	     1.360
  205:	  0.000575	     1.403
  211:	  0.000622	     1.649
  217:	  0.000678	     1.629
  223:	  0.000596	     2.265
  229:	  0.000976	     2.544
  235:	  0.000685	     2.415
  241:	  0.000625	     2.804
  247:	  0.000958	     2.734
  253:	  0.000973	     3.087
  259:	  0.001012	     3.047
  265:	  0.000600	     3.045
  271:	  0.000648	     3.113
  277:	  0.001005	     3.478
  283:	  0.000623	     3.459
  289:	  0.000641	     3.626
  295:	  0.000733	     4.390
  301:	  0.001081	     4.715
  307:	  0.000619	     4.762
  313:	  0.000636	     5.296
  319:	  0.000639	     4.797
  325:	  0.000634	     6.396
  331:	  0.000604	     6.828
  337:	  0.001029	     6.966
  343:	  0.001072	     8.811
  349:	  0.001076	     8.490
  355:	  0.000732	    10.020
  361:	  0.000625	    10.633
  367:	  0.001273	    10.754
  373:	  0.000670	    13.990
  379:	  0.000686	    16.087
  385:	  0.001237	    16.131
  391:	  0.000722	    21.486
