
id: 4
num_1: 34197	| 0000000017749383 cfc771d1266ed6b5 e6503424c62eef89 d11f3f7d770f418a ...
    4	     0.034
   12	     0.076
   20	     0.141
   28	     0.187
   36	     0.271
   44	     0.349
   52	     0.373
   60	     0.518
   68	     0.496
   76	     0.564
   84	     0.625
   92	     0.646
  100	     0.774
  108	     0.849
  116	     0.986
  124	     0.950
  132	     1.072
  140	     1.082
  148	     1.018
  156	     1.224
  164	     1.281
  172	     1.300
  180	     1.353
  188	     1.491
  196	     1.581
  204	     1.634
  212	     1.707
  220	     1.718
  228	     1.810
  236	     1.786
  244	     1.910
  252	     1.976
  260	     2.059
  268	     2.120
  276	     2.111
  284	     2.134
  292	     2.316
  300	     2.282
  308	     2.463
  316	     2.326
  324	     2.445
  332	     2.476
  340	     2.588
  348	     2.781
  356	     2.986
  364	     3.253
  372	     2.937
  380	     3.012
  388	     3.074
  396	     3.088
  404	     2.929
  412	     1.780
  420	     1.687
  428	     2.400
  436	     2.071
  444	     3.369
  452	     3.817
  460	     3.569
  468	     4.004
  476	     3.722
  484	     4.192
  492	     4.587
  500	     4.347
  508	     4.511
  516	     4.709
  524	     4.512
  532	     4.694
  540	     4.700
  548	     4.958
  556	     4.800
  564	     4.773
  572	     4.647
  580	     4.871
  588	     5.062
  596	     5.160
  604	     5.589
  612	     5.202
  620	     5.114
  628	     5.252
  636	     5.417
  644	     5.188
  652	     5.699
  660	     5.567
  668	     5.703
  676	     5.530
  684	     5.632
  692	     5.794
  700	     5.839
  708	     6.068
  716	     6.024
  724	     5.963
  732	     6.351
  740
